root_id,flow,super_class,class,sub_class,hemilineage,side,nerve
720575940611772083,efferent,descending,,,MX7__prim,left,CV
720575940611782874,efferent,descending,,,DM2_central,right,CV
720575940611807795,efferent,descending,,,MX12,right,CV
720575940611813842,efferent,descending,,,putative_primary,left,CV
720575940611881139,efferent,descending,,,putative_primary,left,CV
720575940611886289,efferent,descending,,,PSp2,left,CV
720575940611939290,efferent,descending,,,MX12,right,CV
720575940611956197,efferent,descending,,,putative_primary,left,CV
720575940611976618,efferent,descending,,,LB7,left,CV
720575940611981029,efferent,descending,,,MX12__prim,right,CV
720575940612014131,efferent,descending,,,LB12,left,CV
720575940612019825,efferent,descending,,,MX12,left,CV
720575940612028017,efferent,descending,,,LB7,left,CV
720575940612036837,efferent,descending,,,MX3,left,CV
720575940612058543,efferent,descending,,,LB7,left,CV
720575940612203482,efferent,descending,,,putative_primary,left,CV
720575940612206810,efferent,descending,,,MX12__prim,left,CV
720575940612288947,efferent,descending,,,LB7,right,CV
720575940612311987,efferent,descending,,,putative_primary,left,CV
720575940612335539,efferent,descending,,,LB6,right,CV
720575940612366322,efferent,descending,,,LB3,left,CV
720575940612373423,efferent,descending,,,LB7,left,CV
720575940612376805,efferent,descending,,,MX12__prim,right,CV
720575940612427414,efferent,descending,,,MX12,left,CV
720575940612427670,efferent,descending,,,MX12,left,CV
720575940612429714,efferent,descending,,,LB7,left,CV
720575940612429743,efferent,descending,,,,left,CV
720575940612488341,efferent,descending,,,SMPpv2_dorsal,right,CV
720575940612557994,efferent,descending,,,putative_primary,right,CV
720575940612586151,efferent,descending,,,LB12,right,CV
720575940612603289,efferent,descending,,,putative_primary,right,CV
720575940612629210,efferent,descending,,,MX3,right,CV
720575940612648106,efferent,descending,,,putative_primary,left,CV
720575940612682467,efferent,descending,,,putative_primary,left,CV
720575940612692889,efferent,descending,,,putative_primary,left,CV
720575940612698287,efferent,descending,,,LB12,left,CV
720575940612804606,efferent,descending,,,LB12,right,CV
720575940612804862,efferent,descending,,,LB12,right,CV
720575940612805118,efferent,descending,,,LB6,right,CV
720575940612922851,efferent,descending,,,LB12,right,CV
720575940613019541,efferent,descending,,,putative_primary,right,CV
720575940613088426,efferent,descending,,,putative_primary,left,CV
720575940613170498,efferent,descending,,,putative_primary,right,CV
720575940613200706,efferent,descending,,,PSp2,right,CV
720575940613307033,efferent,descending,,,putative_primary,left,CV
720575940613339875,efferent,descending,,,MD3,left,CV
720575940613347299,efferent,descending,,,putative_primary,right,CV
720575940613358450,efferent,descending,,,putative_primary,left,CV
720575940613403890,efferent,descending,,,SMPpm1,left,CV
720575940613408552,efferent,descending,,,WEDd1,left,CV
720575940613535554,efferent,descending,,,putative_primary,left,CV
720575940613558509,efferent,descending,,,putative_primary,right,CV
720575940613589167,efferent,descending,,,putative_primary,right,CV
720575940613590579,efferent,descending,,,MD3,left,CV
720575940613632153,efferent,descending,,,PSp2,right,CV
720575940613636325,efferent,descending,,,putative_primary,left,CV
720575940613668620,efferent,descending,,,LB12,left,CV
720575940613686954,efferent,descending,,,putative_primary,left,CV
720575940613717138,efferent,descending,,,putative_primary,right,CV
720575940613731270,efferent,descending,,,PSp2,right,CV
720575940613748689,efferent,descending,,,PSp2,right,CV
720575940613793170,efferent,descending,,,LB12,left,CV
720575940613814971,efferent,descending,,,LB6,left,CV
720575940613816062,efferent,descending,,,MX3,left,CV
720575940613838289,efferent,descending,,,putative_primary,right,CV
720575940613915823,efferent,descending,,,putative_primary,right,CV
720575940613917359,efferent,descending,,,MD3,right,CV
720575940613929391,efferent,descending,,,putative_primary,left,CV
720575940613998860,efferent,descending,,,LB12,right,CV
720575940614014895,efferent,descending,,,putative_primary,left,CV
720575940614046395,efferent,descending,,,LB7,left,CV
720575940614075363,efferent,descending,,,putative_primary,right,CV
720575940614089726,efferent,descending,,,putative_primary,right,CV
720575940614107554,efferent,descending,,,LB7,right,CV
720575940614129617,efferent,descending,,,MX12,right,CV
720575940614137907,efferent,descending,,,PSp2,left,CV
720575940614147701,efferent,descending,,,PSp2,right,CV
720575940614165201,efferent,descending,,,MX12,right,CV
720575940614181585,efferent,descending,,,LB7,right,CV
720575940614185366,efferent,descending,,,SMPpv1,right,CV
720575940614186449,efferent,descending,,,MX12__prim,left,CV
720575940614187006,efferent,descending,,,MX7__prim,right,CV
720575940614235323,efferent,descending,,,MX12__prim,left,CV
720575940614236200,efferent,descending,,,PSp2,right,CV
720575940614342038,efferent,descending,,,putative_primary,left,CV
720575940614348438,efferent,descending,,,WEDd1,left,CV
720575940614352278,efferent,descending,,,putative_primary,left,CV
