root_id,hemisphere,type,column_id,x,y,p,q
720575940602857696,right,L1,188,0.5,0.5593220338983051,13,4
720575940604747953,right,L1,135,0.3333333333333335,-0.7627118644067796,-8,-14
720575940604889568,right,L3,580,0.16666666666666674,-0.7966101694915254,-10,-13
720575940604910508,right,L2,591,-0.38888888888888895,-0.11864406779661019,-5,2
720575940605032364,right,L1,231,-0.4444444444444444,-0.423728813559322,-10,-2
720575940605091104,right,L2,678,-0.38888888888888895,-0.2542372881355932,-7,0
720575940605153708,right,L1,728,-0.7777777777777778,0.38983050847457634,-1,13
720575940605162668,right,L2,128,-0.33333333333333337,-0.7627118644067796,-14,-8
720575940605169580,right,L2,173,-0.2777777777777778,-0.864406779661017,-15,-10
720575940605268140,right,L3,197,0.0,-0.6949152542372881,-10,-10
720575940605273772,right,L3,194,-0.05555555555555558,-0.18644067796610164,-3,-2
720575940605330022,right,L1,646,-0.7222222222222222,0.5593220338983051,2,15
720575940605345410,right,L3,614,0.22222222222222232,-0.288135593220339,-2,-6
720575940605353760,right,L2,34,-0.6666666666666667,0.5932203389830508,3,15
720575940605364396,right,L2,209,0.3333333333333335,-0.288135593220339,-1,-7
720575940605376224,right,L1,654,0.3333333333333335,0.2542372881355932,7,1
720575940605402284,right,L2,673,-0.2777777777777778,0.15254237288135597,0,5
720575940605423532,right,L1,779,-0.5555555555555556,0.7966101694915255,7,17
720575940605432492,right,L3,779,-0.5555555555555556,0.7966101694915255,7,17
720575940605541822,right,L1,64,-0.5,-0.7966101694915254,-16,-7
720575940605546208,right,L2,555,0.38888888888888906,0.2881355932203389,8,1
720575940605573088,right,L2,65,0.11111111111111116,0.9322033898305084,15,13
720575940605586622,right,L3,382,-0.33333333333333337,-0.22033898305084743,-6,0
720575940605621862,right,L1,115,0.4444444444444444,0.05084745762711873,5,-3
720575940605633714,right,L1,440,-0.16666666666666674,0.7627118644067796,10,13
720575940605662142,right,L2,254,-0.33333333333333337,-0.8305084745762712,-15,-9
720575940605686462,right,L3,290,-0.5555555555555556,-0.8305084745762712,-17,-7
720575940605701036,right,L2,43,0.5555555555555554,0.5932203389830508,14,4
720575940605747902,right,L1,376,0.7777777777777779,-0.35593220338983056,2,-12
720575940605762528,right,L3,214,0.5,0.0847457627118644,6,-3
720575940605763040,right,L3,703,0.2777777777777777,0.016949152542372836,3,-2
720575940605774014,right,L1,121,0.8888888888888888,0.11864406779661008,10,-6
720575940605817958,right,L2,153,-0.888888888888889,-0.016949152542372836,-8,8
720575940605822654,right,L2,491,-0.8333333333333333,-0.05084745762711862,-8,7
720575940605827174,right,L2,329,0.0,0.7966101694915255,12,12
720575940605833662,right,L2,333,-0.05555555555555558,-0.728813559322034,-11,-10
720575940605871974,right,L2,581,-0.38888888888888895,0.2881355932203389,1,8
720575940605907586,right,L2,141,-0.6111111111111112,-0.7966101694915254,-17,-6
720575940605948332,right,L1,460,0.3333333333333335,-0.6949152542372881,-7,-13
720575940606016288,right,L2,357,-0.5,0.5593220338983051,4,13
720575940606034092,right,L3,304,-0.7222222222222222,0.15254237288135597,-4,9
720575940606058924,right,L2,400,-0.16666666666666674,-1.0,-16,-13
720575940606063537,right,L2,376,0.7777777777777779,-0.35593220338983056,2,-12
720575940606095462,right,L3,455,-0.8333333333333333,-0.2542372881355932,-11,4
720575940606158514,right,L3,87,-0.16666666666666674,0.35593220338983045,4,7
720575940606253489,right,L1,145,0.0,0.11864406779661008,2,2
720575940606273056,right,L1,416,-0.33333333333333337,-0.288135593220339,-7,-1
720575940606286001,right,L2,12,0.7222222222222221,0.2881355932203389,11,-2
720575940606364262,right,L1,619,0.38888888888888906,-0.6610169491525424,-6,-13
