root_id,hemisphere,type,column_id,x,y,p,q
97518,left,L3,697,0.11111111111111116,-0.762711864,-12,-10
97519,left,L3,331,0.16666666666666674,-0.525423729,-9,-6
97520,left,L3,649,-0.055555556,0.15254237288135597,3,2
97521,left,L3,124,0.16666666666666674,-0.254237288,-5,-2
97522,left,L3,69,0.11111111111111116,0.2542372881355932,3,5
97523,left,L2,28,0.5555555555555554,0.18644067796610164,-2,8
97524,left,L3,241,0.2777777777777777,-0.593220339,-11,-6
97525,left,L2,569,0.666666667,0.18644067796610164,-3,9
97526,left,L3,8,-0.444444444,0.8644067796610169,17,9
97527,left,L3,749,-0.166666667,0.016949152542372836,2,-1
97528,left,L1,351,-0.055555556,-0.593220339,-8,-9
97529,left,L1,521,0.7222222222222221,-0.322033898,-11,2
97530,left,L1,567,-0.222222222,0.728813559,13,9
97531,left,L2,731,-0.611111111,0.2881355932203389,10,-1
97532,left,L1,538,-0.388888889,0.016949152542372836,4,-3
97533,left,L2,350,0.16666666666666674,0.4915254237288136,6,9
97534,left,L2,213,0.3333333333333335,-0.152542373,-5,1
97535,left,L2,146,0.11111111111111116,-0.220338983,-4,-2
97536,left,L2,746,-0.277777778,0.084745763,4,-1
97537,left,L2,418,-0.166666667,0.4915254237288136,9,6
97538,left,L1,111,0.22222222222222232,-0.830508475,-14,-10
97539,left,L1,67,-0.166666667,-0.457627119,-5,-8
97540,left,L2,756,0.5555555555555554,0.6610169491525424,5,15
97541,left,L1,606,-0.055555556,-0.661016949,-9,-10
97542,left,L2,375,-0.611111111,0.22033898305084754,9,-2
97543,left,L2,750,0.4444444444444444,-0.830508475,-16,-8
97544,left,L3,272,0.3333333333333335,-0.084745763,-4,2
97545,left,L1,103,0.8333333333333333,0.2881355932203389,-3,12
97546,left,L1,361,0.055555556,-0.254237288,-4,-3
97547,left,L1,467,-0.222222222,-0.694915254,-8,-12
97548,left,L2,344,-0.166666667,-0.525423729,-6,-9
97549,left,L2,379,0.38888888888888906,-0.593220339,-12,-5
97550,left,L2,32,0,0.38983050847457634,6,6
97551,left,L2,200,-0.555555556,0.38983050847457634,11,1
97552,left,L3,101,-0.777777778,0.18644067796610164,10,-4
97553,left,L2,625,-0.222222222,0.7966101694915255,14,10
97554,left,L3,23,-0.333333333,-0.559322034,-5,-11
97555,left,L1,107,0.8888888888888888,-0.084745763,-9,7
97556,left,L3,374,0.2777777777777777,0.423728814,4,9
97557,left,L3,641,-0.833333333,-0.186440678,5,-10
97558,left,L3,172,0.11111111111111116,0.728813559,10,12
97559,left,L2,495,0.5,0.15254237288135597,-2,7
97560,left,L3,302,0.2777777777777777,0.5593220338983051,6,11
97561,left,L2,757,0,-0.220338983,-3,-3
97562,left,L1,314,-0.944444444,0.15254237288135597,11,-6
97563,left,L2,488,0.8333333333333333,0.15254237288135597,-5,10
97564,left,L3,380,-0.055555556,0.9661016949152543,15,14
97565,left,L1,352,-0.222222222,0.9322033898305084,16,12
97566,left,L1,237,-0.166666667,0.8983050847457628,15,12
97567,left,L3,591,0.38888888888888906,-0.118644068,-5,2
97568,left,L2,143,-0.444444444,0.5254237288135593,12,4
97569,left,L2,322,0.22222222222222232,0.8644067796610169,11,15
97570,left,L1,322,0.22222222222222232,0.8644067796610169,11,15
97571,left,L2,684,-0.611111111,0.5593220338983051,14,3
97572,left,L3,161,0.4444444444444444,-0.491525424,-11,-3
97573,left,L2,622,-0.555555556,0.6610169491525424,15,5
97574,left,L1,699,-0.555555556,-0.016949153,5,-5
97575,left,L1,500,0.7777777777777779,-0.288135593,-11,3
97576,left,L1,608,0.11111111111111116,0.3220338983050848,4,6
97577,left,L1,358,-0.277777778,0.5593220338983051,11,6
97578,left,L3,718,-0.555555556,0.7966101694915255,17,7
97579,left,L1,449,0.666666667,-0.559322034,-14,-2
97580,left,L3,405,0.3333333333333335,0.3220338983050848,2,8
97581,left,L3,437,-0.333333333,0.38983050847457634,9,3
97582,left,L2,94,0.5555555555555554,0.5932203389830508,4,14
97583,left,L1,387,-0.055555556,-0.525423729,-7,-8
97584,left,L2,4,-0.5,-0.728813559,-6,-15
97585,left,L1,373,0.16666666666666674,-0.728813559,-12,-9
97586,left,L2,33,0.3333333333333335,0.5932203389830508,6,12
97587,left,L1,575,0.7222222222222221,0.2881355932203389,-2,11
97589,left,L2,645,-0.388888889,0.8983050847457628,17,10
97590,left,L1,576,0,0.9322033898305084,14,14
97592,left,L3,587,0.4444444444444444,0.728813559,7,15
97593,left,L2,536,0.3333333333333335,0.11864406779661008,-1,5
97594,left,L3,267,-0.666666667,0.050847458,7,-5
97595,left,L1,689,-0.222222222,0.5932203389830508,11,7
97596,left,L3,31,0,0.5254237288135593,8,8
97597,left,L1,131,-0.666666667,0.6610169491525424,16,4
97598,left,L2,636,0,0.18644067796610164,3,3
97599,left,L1,493,-0.277777778,0.7627118644067796,14,9
97600,left,L2,231,0.4444444444444444,-0.423728814,-10,-2
97601,left,L1,315,-0.333333333,-0.220338983,0,-6
97602,left,L3,130,0.22222222222222232,0.38983050847457634,4,8
97603,left,L2,8,-0.444444444,0.8644067796610169,17,9
97604,left,L2,125,0.6111111111111112,0.2881355932203389,-1,10
97606,left,L2,150,-0.833333333,0.15254237288135597,10,-5
97607,left,L1,503,0.38888888888888906,0.5593220338983051,5,12
97608,left,L1,574,-0.611111111,0.15254237288135597,8,-3
97609,left,L2,496,0.7777777777777779,0.2542372881355932,-3,11
97611,left,L2,190,-0.277777778,-0.186440678,0,-5
97612,left,L1,211,-0.722222222,-0.050847458,6,-7
97613,left,L3,784,-0.388888889,0.9661016949152543,18,11
97614,left,L3,359,0.2777777777777777,0.7627118644067796,9,14
97615,left,L3,283,-0.444444444,0.11864406779661008,6,-2
97616,left,L3,203,0.38888888888888906,-0.050847458,-4,3
97617,left,L3,419,-0.277777778,-0.389830508,-3,-8
97618,left,L2,259,-0.722222222,-0.186440678,4,-9
97619,left,L2,533,0,-0.559322034,-8,-8
97620,left,L3,384,-0.666666667,-0.084745763,5,-7
97621,left,L1,191,-0.055555556,-0.389830508,-5,-6
97622,left,L2,376,-0.777777778,-0.355932203,2,-12
97623,left,L1,422,-0.777777778,-0.152542373,5,-9
97624,left,L3,414,0.5,0.6949152542372881,6,15
97625,left,L1,452,0.16666666666666674,-0.322033898,-6,-3
97626,left,L1,497,0.7222222222222221,0.016949152542372836,-6,7
97627,left,L1,95,0.5,-0.728813559,-15,-6
97629,left,L2,735,0.16666666666666674,-0.796610169,-13,-10
97630,left,L2,151,-0.333333333,-0.491525424,-4,-10
97631,left,L2,45,-0.5,-0.050847458,4,-5
97632,left,L3,37,0.16666666666666674,0.15254237288135597,1,4
97633,left,L2,204,0.5555555555555554,-0.084745763,-6,4
97634,left,L2,381,0.5555555555555554,-0.898305085,-18,-8
97635,left,L2,453,0.38888888888888906,0.8305084745762712,9,16
97636,left,L3,574,-0.611111111,0.15254237288135597,8,-3
97637,left,L2,384,-0.666666667,-0.084745763,5,-7
97638,left,L1,214,-0.5,0.084745763,6,-3
97639,left,L1,644,-0.666666667,0.5932203389830508,15,3
