dagger_iter,mean_loss,batches,buffer_size,straight_chunks,turn_chunks,collision_chunks,pre_collision_chunks,start_chunks
1,0.8891714304685593,10,1219,447,752,0,0,20
2,0.7774103552103042,10,1221,447,752,0,0,22
3,0.8175861179828644,10,1221,447,752,0,0,22
1,0.6937678515911102,10,1257,468,769,0,0,20
2,0.6453395038843155,10,2695,976,1679,0,0,40
3,0.6382102102041245,10,4222,1584,2578,0,0,60
4,0.6002314269542695,10,5684,2178,3426,0,0,80
5,0.5312488168478012,10,7519,3103,4316,0,0,100
